Longitude,Latitude,Number of Bikes,Restaurants,Distance,Ratings,Bike Stations
-74.050444,40.734786,22,Anitas,34,4.5,W 100 St & Manhattan Ave
-74.052478,40.737604,9,Taste Of Italy,71,4.5,7 Ave & Central Park South
-74.078406,40.724605,8,Taqueria Gardenias,38,4.5,Bedford Ave & Bergen St
-74.032108,40.728745,15,Hot-Dog-Jays,35,5,28 St & 41 Ave
-74.061107,40.714528,24,ME,34,5,Frederick Douglass Blvd & W 112 St
-74.141107,40.705302,10,First Wok,56,3,W 113 St & Broadway
-74.103217,40.717643,0,Camellia Milk Tea,12,4,8 Ave & W 31 St
-74.041386,40.723786,34,Pistache NYC,24,4.5,Bergen St & Vanderbilt Ave
-74.031466,40.723574,25,Johns Market,100,4,Monroe St & Bedford Ave
-74.050444,40.713317,2,Jajaja Mexicana,90,5,35 Ave & 37 St
-74.062305,40.714675,31,Kiki's,14,4,Bank St & Hudson St
-74.030446,40.724605,12,Betty,8,5,Greenwich St & W Houston St
-74.024708,40.704201,27,Double Chicken Pleas,5,4,Madison St & Clinton St
-74.068408,40.604301,20,Ye's Apothecary,10,4,Stanton St & Mangin St
-74.040554,40.713675,14,Wu's Wonton King,8,4.5,Clinton Ave & Flushing Ave
-74.103217,40.710675,4,Wayla,34,3,Rivington St & Ridge St
-74.051105,40.755773,12,Bacaro,45,5,E 114 St & 1 Ave
-74.068506,40.705302,27,Golden Diner,15,5,Columbia St & Lorraine St
-74.059377,40.737604,44,La Contenta,37,5,Riverside Dr & W 104 St
